Model,Organization,Publication date,Confidence,Country,Confidence_level
DiT-XL/2 + Discriminator Guidance,"Korea Advanced Institute of Science and Technology (KAIST),NAVER",2022-11-28,Unknown,Group of Countries,0
Discriminator Guidance,"Korea Advanced Institute of Science and Technology (KAIST),NAVER",2022-11-28,Confident,Group of Countries,5
ALM 1.0,Beijing Academy of Artificial Intelligence / BAAI,2022-11-28,Speculative,China,3
CICERO,Meta AI,2022-11-22,Unknown,United States of America,0
AR-LDM,"Alibaba,University of Waterloo,Vector Institute",2022-11-20,Confident,Group of Countries,5
Fusion in Encoder,Samsung,2022-11-18,Likely,Korea (Republic of),4
Galactica,Meta AI,2022-11-16,Likely,United States of America,4
EVA-01,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology,Zhejiang University (ZJU),Beijing Institute of Technology",2022-11-14,Confident,Group of Countries,5
AltCLIP_M9,Beijing Academy of Artificial Intelligence / BAAI,2022-11-12,Unknown,China,0
InternImage,"Shanghai AI Lab,Tsinghua University,Nanjing University,SenseTime,Chinese University of Hong Kong (CUHK)",2022-11-10,Confident,Group of Countries,5
mT0-13B,"Hugging Face,BigScience",2022-11-03,Confident,Group of Countries,5
Mogrifier RLSTM (WT2),DeepMind,2022-11-03,Confident,United Kingdom of Great Britain and Northern Ireland,5
eDiff-I,NVIDIA,2022-11-02,Likely,United States of America,4
EnCodec,Meta AI,2022-10-24,Unknown,United States of America,0
U-PaLM (540B),Google,2022-10-20,Confident,United States of America,5
LMSI-Palm,"Google,University of Illinois Urbana-Champaign (UIUC)",2022-10-20,Confident,Group of Countries,5
Flan-PaLM 540B,Google,2022-10-20,Confident,United States of America,5
GenSLM,"University of Chicago,NVIDIA,Harvard University,Cerebras Systems,Technical University of Munich,California Institute of Technology",2022-10-11,Confident,Group of Countries,5
Diplodocus,"Meta AI,Massachusetts Institute of Technology (MIT)",2022-10-11,Unknown,Group of Countries,0
Phenaki,"University College London (UCL),University of Michigan,Google Brain",2022-10-05,Unspecified,Group of Countries,0
AlphaTensor,DeepMind,2022-10-05,Confident,United Kingdom of Great Britain and Northern Ireland,5
DiffDock,Massachusetts Institute of Technology (MIT),2022-10-04,Likely,United States of America,4
Make-A-Video,Meta AI,2022-09-29,Unknown,United States of America,0
Whisper,OpenAI,2022-09-21,Likely,United States of America,4
SauTech,"Saudi Data and Artificial Intelligence Authority,Saudi Company for Artificial Intelligence",2022-09-14,Unknown,Group of Countries,0
PaLI,Google,2022-09-14,Likely,United States of America,4
BEIT-3,Microsoft,2022-08-22,Likely,United States of America,4
BlenderBot 3,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",2022-08-10,Likely,Group of Countries,4
GLM-130B,Tsinghua University,2022-08-04,Confident,China,5
AlexaTM 20B,Amazon,2022-08-02,Confident,United States of America,5
OmegaPLM,"Massachusetts Institute of Technology (MIT),Westlake University",2022-07-22,Confident,Group of Countries,5
ESM2-15B,"Meta AI,New York University (NYU),Stanford University,Massachusetts Institute of Technology (MIT)",2022-07-21,Confident,Group of Countries,5
BLOOM-176B,"Hugging Face,BigScience",2022-07-11,Confident,Group of Countries,5
NLLB,Meta AI,2022-07-06,Confident,United States of America,5
CodeT5-large,Salesforce,2022-07-05,Likely,United States of America,4
Minerva (540B),Google,2022-06-29,Confident,United States of America,5
ProGen2-xlarge,"Salesforce Research,Columbia University,Johns Hopkins University",2022-06-27,Confident,Group of Countries,5
Parti,Google Research,2022-06-22,Confident,United States of America,5
CoCa,Google Research,2022-06-14,Confident,United States of America,5
MetaLM,Microsoft Research,2022-06-13,Speculative,United States of America,3
DITTO,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)",2022-06-06,Confident,Group of Countries,5
Diffusion-GAN,"UT Austin,Microsoft",2022-06-05,Unknown,Group of Countries,0
CogVideo,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",2022-05-29,Speculative,Group of Countries,3
Tranception,"University of Oxford,Harvard Medical School,Cohere",2022-05-27,Confident,Group of Countries,5
GPT-2 Medium (FlashAttention),"Stanford University,University at Buffalo",2022-05-27,Confident,Group of Countries,5
Imagen,Google Brain,2022-05-23,Likely,United States of America,4
SimCSE,"Princeton University,Tsinghua University",2022-05-18,Likely,Group of Countries,4
Gato,DeepMind,2022-05-12,Confident,United Kingdom of Great Britain and Northern Ireland,5
UL2,"Google Research,Google Brain",2022-05-10,Confident,Group of Countries,5
DeBERTaV3large + KEAR,Microsoft,2022-05-04,Confident,United States of America,5
OPT-175B,Meta AI,2022-05-02,Confident,United States of America,5
Flamingo,DeepMind,2022-04-29,Confident,United Kingdom of Great Britain and Northern Ireland,5
XMC-GAN,Google Research,2022-04-14,Unknown,United States of America,0
Sparse all-MLP,Meta AI,2022-04-14,Confident,United States of America,5
Stable Diffusion (LDM-KL-8-G),"Runway,Ludwig Maximilian University of Munich,Heidelberg University",2022-04-13,Confident,Group of Countries,5
BERT-RBP,Waseda University,2022-04-07,Confident,Japan,5
DALL·E 2,OpenAI,2022-04-06,Speculative,United States of America,3
PaLM (540B),Google Research,2022-04-04,Confident,United States of America,5
Chinchilla,DeepMind,2022-03-29,Confident,United Kingdom of Great Britain and Northern Ireland,5
Make-A-Scene,Meta AI,2022-03-24,Likely,United States of America,4
"Segatron-XL large, M=384 + HCP","Microsoft Research,University of Waterloo",2022-03-21,Confident,Group of Countries,5
"GPT-3.5 (davinci-002)
",OpenAI,2022-03-15,Speculative,United States of America,3
ViT-G (model soup),"University of Washington,Columbia University,Google,Meta AI,Tel Aviv University",2022-03-10,Confident,Group of Countries,5
MegaSyn,Collaborations Pharmaceuticals,2022-03-07,Unknown,United States of America,0
Statement Curriculum Learning,OpenAI,2022-03-02,Likely,United States of America,4
DeepNet,Microsoft Research,2022-03-01,Confident,United States of America,5
PolyCoder,Carnegie Mellon University (CMU),2022-02-26,Likely,United States of America,4
FourCastNet,"NVIDIA,NERSC, Lawrence Berkeley National Laboratory,University of Michigan,Rice University,California Institute of Technology,Purdue University",2022-02-22,Confident,Group of Countries,5
ST-MoE,"Google,Google Brain,Google Research",2022-02-17,Likely,Group of Countries,4
Midjourney V1,Midjourney,2022-02-15,Unknown,United States of America,0
ProteinBERT,"Hebrew University of Jerusalem,Ben-Gurion University of the Negev,Deep Trading",2022-02-10,Confident,Group of Countries,5
LaMDA,Google,2022-02-10,Confident,United States of America,5
GPT-NeoX-20B,EleutherAI,2022-02-09,Confident,United States of America,5
MaskGIT (ImageNet),Google Research,2022-02-08,Confident,United States of America,5
RETRO-7B,DeepMind,2022-02-07,Confident,United Kingdom of Great Britain and Northern Ireland,5
AlphaCode,DeepMind,2022-02-02,Confident,United Kingdom of Great Britain and Northern Ireland,5
InstructGPT 175B,OpenAI,2022-01-27,Confident,United States of America,5
InstructGPT 6B,OpenAI,2022-01-27,Confident,United States of America,5
InstructGPT 1.3B,OpenAI,2022-01-27,Confident,United States of America,5
OntoProtein,Zhejiang University (ZJU),2022-01-23,Likely,China,4
AbLang (heavy sequences),University of Oxford,2022-01-22,Confident,United Kingdom of Great Britain and Northern Ireland,5
data2vec (vision),Meta AI,2022-01-20,Unspecified,United States of America,0
data2vec (speech),Meta AI,2022-01-20,Unspecified,United States of America,0
data2vec (language),Meta AI,2022-01-20,Likely,United States of America,4
Detic,"Meta AI,University of Texas at Austin",2022-01-07,Speculative,Group of Countries,3
ERNIE-ViLG,Baidu,2021-12-31,Unspecified,China,0
ERNIE 3.0 Titan,"Baidu,Peng Cheng Laboratory",2021-12-23,Confident,Group of Countries,5
XGLM-7.5B,"Meta AI,Facebook AI Research",2021-12-20,Confident,Group of Countries,5
LDM-1.45B,"Heidelberg University,Runway",2021-12-20,Confident,Group of Countries,5
Contriever,"Meta AI,University College London (UCL),PSL University,Université Grenoble Alpes",2021-12-16,Likely,Group of Countries,4
LongT5,Google Research,2021-12-15,Confident,United States of America,5
GLaM,Google,2021-12-13,Confident,United States of America,5
Gopher (280B),DeepMind,2021-12-08,Confident,United Kingdom of Great Britain and Northern Ireland,5
Student of Games,DeepMind,2021-12-06,Speculative,United Kingdom of Great Britain and Northern Ireland,3
T-NLRv5 XXL,Microsoft,2021-12-03,Confident,United States of America,5
NÜWA,"Microsoft Research,Peking University",2021-11-24,Confident,Group of Countries,5
Florence,Microsoft,2021-11-22,Confident,United States of America,5
BASIC-L,Google,2021-11-19,Likely,United States of America,4
Swin Transformer V2 (SwinV2-G),Microsoft Research Asia,2021-11-18,Confident,China,5
ViT-G/14 (LiT),Google Research,2021-11-15,Confident,United States of America,5
Masked Autoencoders ViT-H,Facebook AI Research,2021-11-11,Speculative,Group of Countries,3
Projected GAN,Heidelberg University,2021-11-01,Confident,Germany,5
CodeT5-base,"Salesforce,Nanyang Technological University",2021-11-01,Likely,Group of Countries,4
S4,Stanford University,2021-10-31,Likely,United States of America,4
EfficientZero,"Tsinghua University,University of California (UC) Berkeley,Shanghai Qi Zhi institute",2021-10-30,Unknown,Group of Countries,0
Eve,"Harvard Medical School,University of Oxford",2021-10-27,Likely,Group of Countries,4
base LM+GNN+kNN,"Shannon.AI,Nanjing University,Nanyang Technological University,Zhejiang University (ZJU)",2021-10-17,Confident,Group of Countries,5
Yuan 1.0,Inspur,2021-10-12,Confident,China,5
Megatron-Turing NLG 530B,"Microsoft,NVIDIA",2021-10-11,Confident,Group of Countries,5
AlphaFold-Multimer,"Google DeepMind,DeepMind",2021-10-04,Confident,Group of Countries,5
Turing ULRv5,Microsoft,2021-09-28,Confident,United States of America,5
TrOCR,"Beihang University,Microsoft Research Asia",2021-09-21,Confident,Group of Countries,5
PLATO-XL,Baidu,2021-09-20,Confident,China,5
HyperCLOVA 204B,NAVER,2021-09-10,Speculative,Korea (Republic of),3
PermuteFormer,Peking University,2021-09-06,Speculative,China,3
MEB,Microsoft,2021-09-04,Confident,United States of America,5
FLAN 137B,Google Research,2021-09-03,Confident,United States of America,5
XLMR-XXL,Facebook AI Research,2021-08-17,Confident,Group of Countries,5
DNABERT,Northeastern University,2021-08-15,Confident,United States of America,5
Zidong Taichu,"Chinese Academy of Sciences,Wuhan AI Computing Center",2021-08-11,Confident,Group of Countries,5
Jurassic-1-Jumbo,AI21 Labs,2021-08-11,Confident,Israel,5
W2v-BERT,"Google Brain,Massachusetts Institute of Technology (MIT)",2021-08-07,Confident,Group of Countries,5
YOLOX-X,Megvii Inc,2021-08-06,Likely,China,4
6-Act Tether,"Facebook AI Research,Georgia Institute of Technology",2021-08-03,Confident,Group of Countries,5
SEER,"Facebook AI Research,INRIA",2021-07-29,Confident,Group of Countries,5
HuBERT,Facebook AI Research,2021-07-27,Speculative,Group of Countries,3
GOAT,DeepMind,2021-07-27,Speculative,United Kingdom of Great Britain and Northern Ireland,3
Codex,OpenAI,2021-07-07,Likely,United States of America,4
ERNIE 3.0,Baidu,2021-07-05,Confident,China,5
Adaptive Input Transformer + RD,"Microsoft Research Asia,Soochow University",2021-06-28,Likely,Group of Countries,4
Fold2Seq,"IBM,Texas A&M",2021-06-24,Speculative,Group of Countries,3
EfficientNetV2-XL,"Google,Google Brain",2021-06-23,Confident,Group of Countries,5
StyleGAN3-T,"NVIDIA,Aalto University",2021-06-21,Confident,Group of Countries,5
StyleGAN3-R,"NVIDIA,Aalto University",2021-06-21,Confident,Group of Countries,5
Denoising Diffusion Probabilistic Models (LSUN Bedroom),University of California (UC) Berkeley,2021-06-11,Confident,United States of America,5
ALIGN,Google Research,2021-06-11,Confident,United States of America,5
DeBERTa,Microsoft,2021-06-10,Confident,United States of America,5
EMDR,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind",2021-06-09,Confident,Group of Countries,5
CoAtNet,"Google,Google Research,Google Brain",2021-06-09,Confident,Group of Countries,5
ViT-G/14,"Google Brain,Google Research",2021-06-08,Confident,Group of Countries,5
ByT5-XXL,"Google,Google Research",2021-05-28,Likely,Group of Countries,4
Transformer local-attention (NesT-B),"Google Cloud,Google Research",2021-05-26,Confident,Group of Countries,5
CogView,"Tsinghua University,Alibaba DAMO Academy",2021-05-26,Likely,Group of Countries,4
MedBERT,"Peng Cheng Laboratory,University of Texas at Houston",2021-05-20,Likely,Group of Countries,4
ADM,OpenAI,2021-05-11,Confident,United States of America,5
ProtT5-XL-U50,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google,Seoul National University",2021-05-04,Confident,Group of Countries,5
ProtBERT-BFD,"Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory,Med AI Technology",2021-05-04,Confident,Group of Countries,5
PLUG,Alibaba,2021-04-19,Confident,China,5
Unicorn,Allen Institute for AI,2021-03-24,Confident,United States of America,5
M6-T,Alibaba,2021-03-05,Likely,China,4
Generative BST,Facebook AI Research,2021-03-05,Confident,Group of Countries,5
Meta Pseudo Labels,"Google Brain,Google AI",2021-03-01,Likely,Group of Countries,4
SRU++ Large,ASAPP,2021-02-24,Confident,United States of America,5
Rational DQN Average,TU Darmstadt,2021-02-18,Unspecified,Germany,0
MSA Transformer,"Facebook AI Research,University of California (UC) Berkeley,New York University (NYU)",2021-02-13,Likely,Group of Countries,4
top-down frozen classifier,"University of Edinburgh,Toshiba Cambridge Research Laboratory",2021-02-09,Unknown,Group of Countries,0
DLWP,"University of Washington,Microsoft Research",2021-02-09,Confident,Group of Countries,5
DeiT-B,"Meta AI,Sorbonne University",2021-01-15,Confident,Group of Countries,5
Switch,Google,2021-01-11,Confident,United States of America,5
BigSSL,"Google,Apple",2021-01-10,Unspecified,Group of Countries,0
DALL-E,OpenAI,2021-01-05,Likely,United States of America,4
CLIP (ViT L/14@336px),OpenAI,2021-01-05,Confident,United States of America,5
CLIP (ResNet-50),OpenAI,2021-01-05,Likely,United States of America,4
ERNIE-Doc (247M),Baidu,2020-12-31,Confident,China,5
CT-MoS (WT2),"Google,National Tsing Hua University",2020-12-25,Confident,Group of Countries,5
DensePhrases,"Korea University,Princeton University",2020-12-23,Speculative,Group of Countries,3
VQGAN + CLIP,Heidelberg University,2020-12-17,Unknown,Germany,0
ESM1b,"Facebook AI Research,New York University (NYU)",2020-12-15,Confident,Group of Countries,5
CPM-Large,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",2020-12-01,Confident,Group of Countries,5
AlphaFold 2,DeepMind,2020-11-30,Likely,United Kingdom of Great Britain and Northern Ireland,4
KEPLER,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal",2020-11-23,Confident,Group of Countries,5
wave2vec 2.0 LARGE,Facebook,2020-10-22,Confident,United States of America,5
ViT-Huge/14,"Google Brain,Google Research",2020-10-22,Confident,Group of Countries,5
ViT-Base/32,Google Brain,2020-10-22,Unspecified,United States of America,0
German ELECTRA Large,"deepset,Bayerische Staatsbibliothek Muenchen",2020-10-21,Confident,Group of Countries,5
mT5-XXL,"Google,Google Research",2020-10-20,Confident,Group of Countries,5
Conformer + Wav2vec 2.0 + Noisy Student,"Google,Google Research,Google Brain",2020-10-20,Confident,Group of Countries,5
LUKE,"University of Washington,National Institute of Informatics",2020-10-02,Likely,Group of Countries,4
ProBERTa,"University of Illinois Urbana-Champaign (UIUC),Reed College",2020-09-01,Confident,Group of Countries,5
ERNIE-GEN (large),Baidu,2020-08-06,Speculative,China,3
DeLighT,"University of Washington,Allen Institute for AI,Facebook AI Research",2020-08-03,Likely,Group of Countries,4
EfficientDet,Google Brain,2020-07-27,Unspecified,United States of America,0
Hopfield Networks (2020),"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo",2020-07-16,Unknown,Group of Countries,0
SemExp,"Carnegie Mellon University (CMU),Facebook AI Research",2020-07-02,Unknown,Group of Countries,0
GShard (dense),Google,2020-06-30,Confident,United States of America,5
GPT-3 175B (davinci),OpenAI,2020-05-28,Confident,United States of America,5
DETR,Facebook,2020-05-26,Confident,United States of America,5
Retrieval-Augmented Generator,"Facebook,New York University (NYU),University College London (UCL)",2020-05-22,Confident,Group of Countries,5
Conformer,Google,2020-05-16,Confident,United States of America,5
ContextNet,Google,2020-05-07,Likely,United States of America,4
NAS+ESS (23M),"Northeastern University (China),NiuTrans Research,Kingsoft",2020-05-06,Confident,Group of Countries,5
UnifiedQA,"Allen Institute for AI,University of Washington",2020-05-02,Confident,Group of Countries,5
Once for All,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM",2020-04-29,Confident,Group of Countries,5
Go-explore,"Uber AI,OpenAI",2020-04-27,Unknown,Group of Countries,0
CURL,University of California (UC) Berkeley,2020-04-08,Unspecified,United States of America,0
Agent57,DeepMind,2020-03-30,Unknown,United Kingdom of Great Britain and Northern Ireland,0
MetNet,Google,2020-03-24,Speculative,United States of America,3
ELECTRA,"Stanford University,Google,Google Brain",2020-03-23,Likely,Group of Countries,4
Tensor-Transformer(1core)+PN (WT103),University of California (UC) Berkeley,2020-03-17,Confident,United States of America,5
Routing Transformer (WT-103),Google Research,2020-03-12,Confident,United States of America,5
TransformerXL + spectrum control,"University of California Los Angeles (UCLA),JD.com",2020-03-11,Speculative,Group of Countries,3
TCAN (WT2),"Nanjing University,Ant Group",2020-02-28,Confident,Group of Countries,5
Feedback Transformer,"LORIA,University of Lorraine,Facebook AI Research",2020-02-21,Speculative,Group of Countries,3
FFN SwiGLU,Google,2020-02-14,Confident,United States of America,5
Turing-NLG,Microsoft,2020-02-13,Likely,United States of America,4
SimCLR,Google Brain,2020-02-13,Unspecified,United States of America,0
ALBERT-xxlarge,"Toyota Technological Institute at Chicago,Google",2020-02-09,Speculative,Group of Countries,3
TaLK Convolution,Carleton University,2020-02-08,Likely,Canada,4
Perceiver IO (optical flow),DeepMind,2020-02-08,Confident,United Kingdom of Great Britain and Northern Ireland,5
Theseus 6/768,"University of California San Diego,Beihang University,Microsoft",2020-02-07,Confident,Group of Countries,5
Meena,Google Brain,2020-01-28,Confident,United States of America,5
ContextNet + Noisy Student,Google,2020-01-19,Confident,United States of America,5
AlphaFold,DeepMind,2020-01-15,Speculative,United Kingdom of Great Britain and Northern Ireland,3
Big Transfer (BiT-L),Google Brain,2019-12-24,Unspecified,United States of America,0
DD-PPO,"Georgia Institute of Technology,Facebook AI Research,Oregon State University,Simon Fraser University",2019-12-19,Likely,Group of Countries,4
OpenAI Five Rerun,OpenAI,2019-12-13,Confident,United States of America,5
OpenAI Five,OpenAI,2019-12-13,Confident,United States of America,5
MMLSTM (WT-2),"Beijing University of Posts and Telecommunications,University of West London",2019-12-05,Likely,Group of Countries,4
MMLSTM (PTB),"Beijing University of Posts and Telecommunications,University of West London",2019-12-05,Likely,Group of Countries,4
StarGAN v2,"NAVER,Yonsei University,Swiss Federal Institute of Technology",2019-12-04,Unknown,Group of Countries,0
StyleGAN2,"NVIDIA,Aalto University",2019-12-03,Confident,Group of Countries,5
Transformer-XL DeFINE (141M),"University of Washington,Allen Institute for AI",2019-11-27,Speculative,Group of Countries,3
Photo-Geometric Autoencoder,University of Oxford,2019-11-25,Unknown,United Kingdom of Great Britain and Northern Ireland,0
Transformer - LibriVox + Decoding/Rescoring,Facebook,2019-11-19,Confident,United States of America,5
MuZero,DeepMind,2019-11-19,Speculative,United Kingdom of Great Britain and Northern Ireland,3
MoCo,Facebook AI,2019-11-13,Unspecified,United States of America,0
Noisy Student (L2),"Carnegie Mellon University (CMU),Google",2019-11-11,Confident,Group of Countries,5
Sandwich Transformer,"Allen Institute for AI,Facebook AI Research",2019-11-10,Speculative,Group of Countries,3
CamemBERT,"Facebook,INRIA,Sorbonne University",2019-11-10,Confident,Group of Countries,5
XLM-RoBERTa,Facebook AI,2019-11-05,Confident,United States of America,5
Base LM + kNN LM + Continuous Cache,"Stanford University,Facebook AI Research",2019-11-01,Likely,Group of Countries,4
AlphaStar,DeepMind,2019-10-30,Confident,United Kingdom of Great Britain and Northern Ireland,5
BART-large,Facebook AI,2019-10-29,Likely,United States of America,4
T5-11B,Google,2019-10-23,Confident,United States of America,5
T5-3B,Google,2019-10-23,Confident,United States of America,5
M4-50B,Google,2019-10-11,Confident,United States of America,5
DistilBERT,Hugging Face,2019-10-02,Confident,United States of America,5
AlphaX-1,"Facebook AI Research,Brown University",2019-10-02,Confident,Group of Countries,5
ALBERT,"Toyota Technological Institute at Chicago,Google Research",2019-09-26,Confident,Group of Countries,5
Adaptive Inputs + LayerDrop,"Facebook AI Research,LORIA",2019-09-25,Confident,Group of Countries,5
Megatron-LM (8.3B),NVIDIA,2019-09-17,Likely,United States of America,4
Megatron-LM (1.2B),NVIDIA,2019-09-17,Confident,United States of America,5
Megatron-BERT,NVIDIA,2019-09-17,Confident,United States of America,5
UDSMProt,Fraunhofer Heinrich Hertz Institute,2019-09-04,Likely,Germany,4
"Mogrifier (d2, MoS2, MC) + dynamic eval","DeepMind,University of Oxford",2019-09-04,Confident,Group of Countries,5
trRosetta,"Nankai University,University of Washington,Tianjin University,Harvard University",2019-08-22,Confident,Group of Countries,5
EN^2AS with performance reward,"Beijing Institute of Technology,University of Technology Sydney,Monash University",2019-07-22,Unspecified,Group of Countries,0
Pluribus,Facebook AI Research,2019-07-11,Likely,Group of Countries,4
BigBiGAN,Google,2019-07-04,Unspecified,United States of America,0
RoBERTa Large,"Facebook,University of Washington",2019-07-01,Confident,Group of Countries,5
Walking Minotaur robot,"University of California (UC) Berkeley,Google Brain",2019-06-19,Unknown,Group of Countries,0
LaNet-L (CIFAR-10),"Brown University,Facebook",2019-06-17,Confident,Group of Countries,5
PG-SWGAN,ETH Zurich,2019-06-15,Unknown,Switzerland,0
FixRes ResNeXt-101 WSL,Facebook AI,2019-06-14,Unspecified,United States of America,0
Char-CNN-BiLSTM,Capital One,2019-06-13,Confident,United States of America,5
AWD-LSTM + MoS + Partial Shuffled,University of Texas at Austin,2019-06-10,Confident,United States of America,5
Transformer-XL Large + Phrase Induction,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)",2019-06-04,Speculative,Group of Countries,3
XLNet,"Carnegie Mellon University (CMU),Google Brain",2019-06-01,Confident,Group of Countries,5
XLM,Facebook,2019-06-01,Unspecified,United States of America,0
DLRM-2020,Facebook AI,2019-05-31,Confident,United States of America,5
EfficientNet-L2,Google,2019-05-28,Unspecified,United States of America,0
CPC v2,"DeepMind,University of California (UC) Berkeley",2019-05-22,Unspecified,Group of Countries,0
AWD-LSTM-DRILL + dynamic evaluation† (WT2),IDIAP,2019-05-14,Likely,Switzerland,4
ResNeXt-101 Billion-scale,Facebook AI,2019-05-02,Unspecified,United States of America,0
RaptorX-Contact,Toyota Technological Institute at Chicago,2019-05-02,Unknown,United States of America,0
Neuro-Symbolic Concept Learner,"Massachusetts Institute of Technology (MIT),Tsinghua University,MIT-IBM Watson AI Lab,DeepMind",2019-04-26,Unknown,Group of Countries,0
MuseNet,OpenAI,2019-04-25,Likely,United States of America,4
BERT-Large-CAS (PTB+WT2+WT103),Amazon,2019-04-20,Likely,United States of America,4
Transformer-XL + RMS dynamic eval,University of Edinburgh,2019-04-17,Confident,United Kingdom of Great Britain and Northern Ireland,5
WeNet (Penn Treebank),Amazon,2019-04-08,Likely,United States of America,4
True-Regularization+Finetune+Dynamic-Eval,"Mobvoi,Williams College",2019-04-08,Confident,Group of Countries,5
Cross-lingual alignment,"Tel Aviv University,Massachusetts Institute of Technology (MIT)",2019-04-04,Speculative,Group of Countries,3
SciBERT,Allen Institute for AI,2019-03-26,Confident,United States of America,5
NMT Transformer 437M,"Google,Bar-Ilan University",2019-02-28,Confident,Group of Countries,5
KataGo,Jane Street,2019-02-27,Speculative,United States of America,3
GPT-2 (1.5B),OpenAI,2019-02-14,Speculative,United States of America,3
SDE,"Carnegie Mellon University (CMU),Google Brain,Monash University",2019-02-09,Unknown,Group of Countries,0
Hanabi 4 player,"DeepMind,University of Oxford,Carnegie Mellon University (CMU),Google Brain",2019-02-01,Confident,Group of Countries,5
MT-DNN,Microsoft,2019-01-31,Confident,United States of America,5
Transformer-XL (257M),"Carnegie Mellon University (CMU),Google Brain",2019-01-09,Speculative,Group of Countries,3
Transformer ELMo,"Allen Institute for AI,University of Washington",2019-01-01,Confident,Group of Countries,5
StyleGAN,NVIDIA,2018-12-12,Confident,United States of America,5
SPN (ImageNet 128),"Google Brain,DeepMind",2018-12-04,Confident,Group of Countries,5
GPipe (Transformer),Google,2018-11-16,Likely,United States of America,4
Multi-cell LSTM,University of Hyderabad,2018-11-15,Likely,India,4
Fine-tuned-AWD-LSTM-DOC (fin),Samsung R&D Institute Russia,2018-11-12,Confident,Russia,5
Mesh-TensorFlow Transformer 4.9B (language),Google Brain,2018-11-05,Confident,United States of America,5
Mesh-TensorFlow Transformer 2.9B (translation),Google Brain,2018-11-05,Likely,United States of America,4
MemoReader,"Samsung,Korea University",2018-10-31,Confident,Group of Countries,5
TrellisNet,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs",2018-10-15,Confident,Group of Countries,5
MetaMimic,Google,2018-10-11,Unspecified,United States of America,0
BERT-Large,Google,2018-10-11,Confident,United States of America,5
Transformer (Adaptive Input Embeddings) WT103,Facebook AI Research,2018-09-28,Confident,Group of Countries,5
LSTM+NeuralCache,"KU Leuven,ESAT - PSI,Apple",2018-09-24,Likely,Group of Countries,4
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)","Peking University,Microsoft Research Asia",2018-09-18,Confident,Group of Countries,5
Transformer + Simple Recurrent Unit,"ASAPP,Cornell University,Google,Princeton University",2018-09-17,Confident,Group of Countries,5
NetSurfP-2.0,"Technical University of Denmark,University of Copenhagen,Universidad Nacional de San Martín,AIMST University",2018-09-10,Unknown,Group of Countries,0
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),"NTT Communication Science Laboratories,Tohoku University",2018-08-30,Confident,Group of Countries,5
Big Transformer for Back-Translation,"Facebook AI Research,Google Brain",2018-08-28,Likely,Group of Countries,4
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),IBM,2018-08-14,Confident,United States of America,5
Big-Little Net (speech),IBM,2018-07-10,Speculative,United States of America,3
Big-Little Net,IBM,2018-07-10,Likely,United States of America,4
FTW (For The Win),DeepMind,2018-07-03,Speculative,United Kingdom of Great Britain and Northern Ireland,3
MobileNetV2,Google,2018-06-18,Unspecified,United States of America,0
Relational Memory Core,"DeepMind,University College London (UCL)",2018-06-05,Confident,Group of Countries,5
GPT-1,OpenAI,2018-06-01,Likely,United States of America,4
aLSTM(depth-2)+RecurrentPolicy (WT2),"University of Manchester,Alan Turing Institute",2018-05-22,Confident,Group of Countries,5
Dropout-LSTM+Noise(Bernoulli) (WT2),"Columbia University,New York University (NYU),Princeton University",2018-05-03,Likely,Group of Countries,4
ResNeXt-101 32x48d,Facebook,2018-05-02,Confident,United States of America,5
YOLOv3,University of Washington,2018-04-08,Likely,United States of America,4
4 layer QRNN (h=2500),Salesforce Research,2018-03-22,Likely,United States of America,4
Chinese - English translation,Microsoft,2018-03-01,Unknown,United States of America,0
TCN (P-MNIST),"Carnegie Mellon University (CMU),Intel Labs",2018-02-15,Confident,Group of Countries,5
DeepLabV3+,Google,2018-02-07,Unknown,United States of America,0
IMPALA,DeepMind,2018-02-05,Confident,United Kingdom of Great Britain and Northern Ireland,5
QRNN,Salesforce Research,2018-02-01,Likely,United States of America,4
ELMo,"University of Washington,Allen Institute for AI",2018-02-01,Speculative,Group of Countries,3
T-DMCA,Google Brain,2018-01-30,Likely,United States of America,4
AlphaZero,DeepMind,2017-12-05,Likely,United Kingdom of Great Britain and Northern Ireland,4
DL scaling speech,Baidu,2017-12-01,Likely,China,4
DL scaling LM,Baidu,2017-12-01,Speculative,China,3
